episode,step,episodic reward,success rate,episodic length
0,5,-1,0.0,5
0,10,-1,0.0,10
0,15,-1,0.0,15
0,20,-1,0.0,20
0,25,-1,0.0,25
0,30,-1,0.0,30
0,35,-1,0.0,35
0,40,-1,0.0,40
0,45,-1,0.0,45
1,50,-1,0.0,5
1,55,-1,0.0,10
1,60,-1,0.0,15
1,65,-1,0.0,20
1,70,-1,0.0,25
1,75,-1,0.0,30
1,80,-1,0.0,35
1,85,-1,0.0,40
1,90,-1,0.0,45
1,95,-1,0.0,50
1,100,-1,0.0,55
1,105,-1,0.0,60
1,110,-1,0.0,65
1,115,-1,0.0,70
1,120,-1,0.0,75
1,125,-1,0.0,80
1,130,-1,0.0,85
1,135,-1,0.0,90
1,140,-1,0.0,95
1,145,-1,0.0,100
1,150,-1,0.0,105
1,155,-1,0.0,110
1,160,-1,0.0,115
1,165,-1,0.0,120
1,170,-1,0.0,125
1,175,-1,0.0,130
1,180,-1,0.0,135
1,185,-1,0.0,140
1,190,-1,0.0,145
1,195,-1,0.0,150
1,200,-1,0.0,155
1,205,-1,0.0,160
1,210,-1,0.0,165
1,215,-1,0.0,170
1,220,-1,0.0,175
1,225,-1,0.0,180
1,230,-1,0.0,185
1,235,-1,0.0,190
1,240,-1,0.0,195
1,245,-1,0.0,200
1,250,-1,0.0,205
1,255,-1,0.0,210
1,260,-1,0.0,215
1,265,-1,0.0,220
1,270,-1,0.0,225
2,275,0,0.0,2
2,280,0,0.0,7
2,285,0,0.0,12
2,290,0,0.0,17
2,295,0,0.0,22
2,300,0,0.0,27
2,305,0,0.0,32
2,310,0,0.0,37
2,315,0,0.0,42
2,320,0,0.0,47
2,325,0,0.0,52
2,330,0,0.0,57
2,335,0,0.0,62
2,340,0,0.0,67
2,345,0,0.0,72
2,350,0,0.0,77
2,355,0,0.0,82
2,360,0,0.0,87
2,365,0,0.0,92
2,370,0,0.0,97
2,375,0,0.0,102
2,380,0,0.0,107
2,385,0,0.0,112
2,390,0,0.0,117
2,395,0,0.0,122
2,400,0,0.0,127
2,405,0,0.0,132
2,410,0,0.0,137
2,415,0,0.0,142
2,420,0,0.0,147
